CHEMBL218
=========

Top 15 discriminative features
(shifted index, original index, P(x=1|y=0), P(x=1|y=1), |difference|)

feature_shifted=73, feature_original=73, p_x1_y0=29619.2941, p_x1_y1=19904.7059, abs_diff=9714.5882
feature_shifted=66, feature_original=66, p_x1_y0=2956.0588, p_x1_y1=2296.2353, abs_diff=659.8235
feature_shifted=71, feature_original=71, p_x1_y0=730.3922, p_x1_y1=565.0392, abs_diff=165.3529
feature_shifted=72, feature_original=72, p_x1_y0=988.1373, p_x1_y1=843.8039, abs_diff=144.3333
feature_shifted=78, feature_original=78, p_x1_y0=140.0392, p_x1_y1=91.5686, abs_diff=48.4706
feature_shifted=63, feature_original=63, p_x1_y0=306.2549, p_x1_y1=268.9804, abs_diff=37.2745
feature_shifted=153, feature_original=153, p_x1_y0=89.3807, p_x1_y1=52.1839, abs_diff=37.1968
feature_shifted=65, feature_original=65, p_x1_y0=184.2549, p_x1_y1=169.6078, abs_diff=14.6471
feature_shifted=82, feature_original=82, p_x1_y0=20.5882, p_x1_y1=9.2941, abs_diff=11.2941
feature_shifted=67, feature_original=67, p_x1_y0=27.6078, p_x1_y1=19.2941, abs_diff=8.3137
feature_shifted=48, feature_original=48, p_x1_y0=15.1256, p_x1_y1=10.3221, abs_diff=4.8035
feature_shifted=62, feature_original=62, p_x1_y0=71.7059, p_x1_y1=68.2549, abs_diff=3.4510
feature_shifted=127, feature_original=127, p_x1_y0=6.9791, p_x1_y1=9.3213, abs_diff=2.3423
feature_shifted=147, feature_original=147, p_x1_y0=7.1565, p_x1_y1=9.4377, abs_diff=2.2813
feature_shifted=40, feature_original=40, p_x1_y0=12.6113, p_x1_y1=10.6671, abs_diff=1.9442
