CHEMBL230
=========

Top 15 discriminative features
(shifted index, original index, P(x=1|y=0), P(x=1|y=1), |difference|)

feature_shifted=73, feature_original=73, p_x1_y0=27431.1579, p_x1_y1=25735.0175, abs_diff=1696.1404
feature_shifted=66, feature_original=66, p_x1_y0=2826.9474, p_x1_y1=2742.5263, abs_diff=84.4211
feature_shifted=71, feature_original=71, p_x1_y0=748.6316, p_x1_y1=690.9591, abs_diff=57.6725
feature_shifted=72, feature_original=72, p_x1_y0=982.8889, p_x1_y1=1036.1637, abs_diff=53.2749
feature_shifted=78, feature_original=78, p_x1_y0=147.0994, p_x1_y1=120.7953, abs_diff=26.3041
feature_shifted=65, feature_original=65, p_x1_y0=186.3977, p_x1_y1=197.2281, abs_diff=10.8304
feature_shifted=92, feature_original=92, p_x1_y0=6.7368, p_x1_y1=16.1404, abs_diff=9.4035
feature_shifted=152, feature_original=152, p_x1_y0=416.4653, p_x1_y1=407.5711, abs_diff=8.8942
feature_shifted=82, feature_original=82, p_x1_y0=21.6140, p_x1_y1=14.8772, abs_diff=6.7368
feature_shifted=67, feature_original=67, p_x1_y0=29.0526, p_x1_y1=24.5614, abs_diff=4.4912
feature_shifted=127, feature_original=127, p_x1_y0=8.2272, p_x1_y1=11.3629, abs_diff=3.1357
feature_shifted=147, feature_original=147, p_x1_y0=8.3819, p_x1_y1=11.4935, abs_diff=3.1116
feature_shifted=48, feature_original=48, p_x1_y0=12.2992, p_x1_y1=9.9788, abs_diff=2.3204
feature_shifted=139, feature_original=139, p_x1_y0=0.3565, p_x1_y1=2.1229, abs_diff=1.7664
feature_shifted=153, feature_original=153, p_x1_y0=87.4690, p_x1_y1=86.5833, abs_diff=0.8857
