CHEMBL214
=========

Top 15 discriminative features
(shifted index, original index, P(x=1|y=0), P(x=1|y=1), |difference|)

feature_shifted=73, feature_original=73, p_x1_y0=25338.5197, p_x1_y1=24162.7087, abs_diff=1175.8110
feature_shifted=72, feature_original=72, p_x1_y0=923.1811, p_x1_y1=1041.9370, abs_diff=118.7559
feature_shifted=66, feature_original=66, p_x1_y0=2687.6693, p_x1_y1=2570.9291, abs_diff=116.7402
feature_shifted=153, feature_original=153, p_x1_y0=90.0815, p_x1_y1=50.8432, abs_diff=39.2383
feature_shifted=152, feature_original=152, p_x1_y0=410.2410, p_x1_y1=384.8454, abs_diff=25.3956
feature_shifted=65, feature_original=65, p_x1_y0=179.2126, p_x1_y1=198.1102, abs_diff=18.8976
feature_shifted=63, feature_original=63, p_x1_y0=292.2835, p_x1_y1=285.2598, abs_diff=7.0236
feature_shifted=92, feature_original=92, p_x1_y0=5.7638, p_x1_y1=12.7559, abs_diff=6.9921
feature_shifted=78, feature_original=78, p_x1_y0=139.3228, p_x1_y1=143.9370, abs_diff=4.6142
feature_shifted=48, feature_original=48, p_x1_y0=12.1466, p_x1_y1=9.4970, abs_diff=2.6496
feature_shifted=139, feature_original=139, p_x1_y0=0.3750, p_x1_y1=-1.5696, abs_diff=1.9445
feature_shifted=62, feature_original=62, p_x1_y0=70.6929, p_x1_y1=69.5276, abs_diff=1.1654
feature_shifted=0, feature_original=0, p_x1_y0=37.6457, p_x1_y1=36.6063, abs_diff=1.0394
feature_shifted=82, feature_original=82, p_x1_y0=22.2047, p_x1_y1=23.2441, abs_diff=1.0394
feature_shifted=127, feature_original=127, p_x1_y0=7.0787, p_x1_y1=7.9738, abs_diff=0.8951
