Erdos_700_7500_grid_50_407_485.pickle,1150,8552,0.0116,0.0158,0.028,0.0325,0.0466,0.0152,0.0535,0.0601,0.0504,0.0259,0.0159,0.0176,0.0239,0.0385,0.0145,0.0212,0.0089,0.008,0.0064,0.0,0.0,0.045,0.0367,0.0,0.0077,0.4163,
Erdos_700_7500_grid_50_407_485.pickle,1150,8552,0.0139,0.0151,0.0273,0.0216,0.0319,0.0272,0.0395,0.0311,0.0326,0.0121,0.0328,0.0298,0.0164,0.0525,0.0176,0.0227,0.0124,0.0045,0.0069,0.0,0.0,0.0468,0.0486,0.0,0.0045,0.4524,
Barabasi_500_12_house_70_317_41.pickle,850,6659,0.0223,0.0183,0.0156,0.0317,0.0339,0.0483,0.0432,0.0222,0.0257,0.0436,0.0472,0.0229,0.0275,0.0341,0.0298,0.0279,0.0397,0.0213,0.0333,0.0455,0.0615,0.0483,0.0458,0.0414,0.0069,0.1622,
Barabasi_650_10_grid_80_372_175.pickle,1370,7805,0.0245,0.0246,0.0139,0.0393,0.0394,0.0608,0.0338,0.0254,0.025,0.0508,0.0286,0.0477,0.035,0.0617,0.0514,0.0397,0.0482,0.0102,0.0512,0.066,0.0492,0.0371,0.0343,0.0269,0.0065,0.0687,
Erdos_650_5000_path_70_267_418.pickle,1000,5613,0.0169,0.0128,0.0145,0.0193,0.0265,0.0043,0.0204,0.0236,0.0204,0.0094,0.0507,0.0236,0.0233,0.0197,0.0388,0.059,0.0091,0.0064,0.0069,0.0,0.0,0.0185,0.0159,0.0,0.009,0.5511,
Barabasi_500_10_house_60_266_11.pickle,800,5583,0.0253,0.0272,0.0064,0.0194,0.0551,0.0715,0.0385,0.0169,0.0229,0.0429,0.0469,0.0401,0.0281,0.0337,0.0434,0.0429,0.0355,0.0219,0.0417,0.065,0.0463,0.0486,0.0483,0.0412,0.0145,0.0759,
Erdos_650_5000_house_50_267_406.pickle,900,5615,0.0142,0.0131,0.0204,0.0196,0.0243,0.0054,0.0364,0.0278,0.0294,0.0033,0.0134,0.0095,0.0134,0.0172,0.0097,0.0122,0.0173,0.0091,0.0025,0.0021,0.0,0.0217,0.016,0.0036,0.0165,0.6421,
Erdos_650_7500_house_50_392_431.pickle,900,8236,0.0134,0.0182,0.0393,0.0324,0.0484,0.0353,0.0526,0.0521,0.0598,0.0261,0.0281,0.04,0.0131,0.0336,0.0221,0.0213,0.012,0.0032,0.0101,0.0,0.0039,0.062,0.034,0.0,0.0084,0.3305,
Erdos_500_5000_path_70_267_268.pickle,850,5613,0.0148,0.0102,0.0223,0.0184,0.0261,0.012,0.0235,0.0244,0.0332,0.0118,0.0168,0.0237,0.0174,0.0387,0.0314,0.0378,0.0113,0.0047,0.0042,0.0,0.0,0.0259,0.0228,0.0,0.0043,0.5642,
Barabasi_550_12_path_40_332_78.pickle,750,6981,0.0229,0.0216,0.0082,0.0178,0.0636,0.0673,0.0362,0.0263,0.0367,0.039,0.0506,0.0474,0.0297,0.0383,0.0333,0.0229,0.0423,0.0122,0.0481,0.0623,0.0714,0.034,0.0372,0.0538,0.0095,0.0675,
Erdos_700_7500_path_60_390_488.pickle,1000,8185,0.0242,0.0204,0.0196,0.0243,0.0405,0.0111,0.0345,0.052,0.0569,0.032,0.014,0.0357,0.0176,0.0303,0.0086,0.0137,0.0135,0.0053,0.0053,0.0,0.0,0.0573,0.0301,0.0,0.0124,0.4405,
Erdos_650_5000_path_80_270_423.pickle,1050,5669,0.0145,0.0068,0.0131,0.0144,0.0168,0.0017,0.019,0.0216,0.0229,0.0076,0.01,0.0218,0.0079,0.0214,0.0146,0.0184,0.0158,0.0103,0.0047,0.0023,0.0,0.0267,0.0418,0.0021,0.0089,0.6548,
Erdos_650_7500_grid_70_420_445.pickle,1280,8827,0.0173,0.0256,0.0225,0.018,0.047,0.022,0.0528,0.0481,0.0636,0.0196,0.0378,0.0278,0.0232,0.0398,0.0323,0.029,0.0227,0.0167,0.0078,0.0104,0.0,0.0507,0.0469,0.0111,0.0157,0.2914,
Barabasi_500_10_path_60_260_13.pickle,800,5454,0.0217,0.0202,0.0091,0.0421,0.0422,0.0844,0.0318,0.0273,0.0222,0.045,0.06,0.0589,0.0179,0.0636,0.0386,0.0446,0.0301,0.0176,0.0592,0.0489,0.0373,0.0476,0.023,0.0255,0.0058,0.0757,
Erdos_550_7500_house_40_389_326.pickle,750,8152,0.0219,0.0151,0.033,0.0454,0.0533,0.0298,0.05,0.0587,0.0508,0.0319,0.0344,0.0193,0.014,0.0293,0.0202,0.0195,0.0185,0.0066,0.018,0.0014,0.0031,0.0621,0.0453,0.0006,0.0137,0.3041,
Erdos_500_7500_star_70_392_292.pickle,850,8233,0.0184,0.0183,0.023,0.0155,0.0378,0.0211,0.0726,0.0653,0.0778,0.0226,0.0111,0.0348,0.016,0.0722,0.0139,0.0103,0.0131,0.0054,0.0105,0.0028,0.0134,0.0616,0.0495,0.0009,0.0061,0.3061,
Barabasi_600_12_cycle_70_377_144.pickle,1020,7914,0.0262,0.0293,0.003,0.0338,0.0484,0.0826,0.0517,0.02,0.0253,0.0421,0.0374,0.0519,0.0227,0.0448,0.0251,0.0254,0.0504,0.0129,0.0575,0.0528,0.0441,0.039,0.045,0.048,0.0048,0.0758,
Erdos_500_7500_star_50_387_282.pickle,750,8125,0.0197,0.0178,0.0313,0.0346,0.054,0.0341,0.0643,0.0619,0.0613,0.0366,0.024,0.0263,0.0218,0.0393,0.0263,0.0252,0.0269,0.0076,0.0123,0.0035,0.0,0.0757,0.045,0.0017,0.0089,0.2399,
Erdos_550_7500_house_70_399_341.pickle,900,8382,0.0182,0.0179,0.0311,0.0178,0.0438,0.0219,0.0742,0.0767,0.0706,0.0322,0.0242,0.0217,0.0325,0.0296,0.0175,0.0195,0.0192,0.0072,0.0125,0.0007,0.0035,0.0894,0.0629,0.0003,0.0115,0.2433,
Erdos_550_7500_house_60_396_336.pickle,850,8309,0.0169,0.014,0.0409,0.023,0.0339,0.0123,0.0622,0.0471,0.0563,0.0207,0.0258,0.0418,0.0254,0.0444,0.0246,0.0365,0.0153,0.0035,0.0113,0.0,0.0,0.0492,0.0383,0.0,0.0047,0.3519,
Barabasi_500_12_star_70_310_42.pickle,850,6509,0.0263,0.0291,0.0037,0.0341,0.0411,0.0653,0.0551,0.0208,0.0302,0.0391,0.0486,0.0596,0.0388,0.0316,0.0292,0.0249,0.0436,0.0438,0.0346,0.0522,0.0567,0.0418,0.0408,0.0288,0.0044,0.0757,
Erdos_600_7500_grid_40_401_380.pickle,960,8412,0.0186,0.0151,0.0286,0.0345,0.0525,0.0307,0.0593,0.0509,0.0641,0.0346,0.0331,0.0263,0.0365,0.0305,0.0187,0.0263,0.0237,0.0039,0.0123,0.0,0.0,0.0832,0.0647,0.0,0.0113,0.2404,
